home_club_manager_name,total_win,total_games,win_rate
Yuriy Gura,16,17,94.11764705882352
Yuriy Kalitvintsev,28,35,80.0
Yuriy Krasnozhan,9,15,60.0
Yuriy Maksymov,41,52,78.84615384615384
Yuriy Moroz,8,11,72.72727272727273
Yuriy Vernydub,110,145,75.86206896551724
Yuriy Virt,26,40,65.0
Yuriy Yaroshenko,16,16,100.0
Yves Vanderhaeghe,108,131,82.44274809160305
Zdenek Scasny,8,11,72.72727272727273
Zdenek Zeman,16,21,76.19047619047619
Zdeněk Zeman,10,13,76.92307692307693
Zekirija Ramadani,10,11,90.9090909090909
Zeljko Petrovic,18,20,90.0
Zinédine Zidane,110,133,82.70676691729322
Zoran Barisic,13,20,65.0
Zoran Mamic,15,18,83.33333333333334
Zoran Milinkovic,7,12,58.333333333333336
Zoran Zekic,13,16,81.25
Álvaro Cervera,27,37,72.97297297297297
Álvaro Pacheco,21,31,67.74193548387096
Ángel López,13,17,76.47058823529412
Élie Baup,28,34,82.35294117647058
Éric Roy,12,16,75.0
Ólafur Helgi Kristjánsson,43,52,82.6923076923077
Ólafur Jóhannesson,9,10,90.0
Óscar García,42,64,65.625
Óskar Hrafn Thorvaldsson,10,10,100.0
Ömer Erdogan,42,52,80.76923076923077
Ümit Özat,21,31,67.74193548387096
Ünal Karaman,41,50,82.0
İsmail Kartal,10,10,100.0
